time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1692	1.34374	5.18349	0.220617	0.175976	radar	4.92884	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3938	1.42232	5.14716	0.239886	0.187535	lidar	1.20123	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6241	1.49988	5.00771	0.258701	0.199231	radar	3.74132	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8469	1.53387	4.97016	0.256927	0.186776	lidar	1.09579	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.114	1.58589	5.04799	0.258486	0.177671	radar	2.0774	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.394	1.63571	5.09616	0.258028	0.16731	lidar	2.00266	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6243	1.69111	5.03218	0.26383	0.165044	radar	0.743812	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8532	1.75606	5.01177	0.27254	0.165624	lidar	0.295835	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1112	1.84471	5.10942	0.286657	0.171083	radar	1.52422	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3535	1.87838	5.0897	0.279142	0.153679	lidar	0.612036	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6104	1.94168	5.16268	0.28152	0.14709	radar	0.865235	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8123	2.06939	5.12063	0.315782	0.176477	lidar	3.3499	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0818	2.17699	5.25203	0.331449	0.18243	radar	3.17518	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2875	2.31381	5.21575	0.365322	0.209484	lidar	2.7461	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4662	2.44556	5.02638	0.400972	0.239965	radar	11.3571	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7164	2.56548	5.06579	0.419006	0.246413	lidar	0.950482	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9366	2.67308	5.03202	0.434524	0.250528	radar	0.231052	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1663	2.8285	5.06527	0.465972	0.270929	lidar	0.907811	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4175	2.94078	5.17239	0.472213	0.260522	radar	1.28926	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6222	3.01897	5.11025	0.472506	0.246955	lidar	2.07819	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8555	3.17115	5.19421	0.495728	0.257118	radar	3.76745	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0663	3.36326	5.22118	0.537163	0.287907	lidar	1.44425	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2784	3.52316	5.17015	0.565284	0.305	radar	2.83478	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4935	3.71369	5.20881	0.600049	0.325903	lidar	0.891963	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7045	3.84589	5.18066	0.611064	0.320754	radar	0.912431	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9252	3.99507	5.19261	0.624983	0.318441	lidar	0.145888	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1213	4.15023	5.10037	0.647805	0.329586	radar	1.79491	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3184	4.34848	5.13547	0.68068	0.347053	lidar	0.602181	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5291	4.51127	5.16187	0.694774	0.342927	radar	0.592082	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7057	4.68217	5.14173	0.717326	0.348751	lidar	0.552486	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8612	4.85839	4.97011	0.752266	0.375319	radar	4.31241	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0247	5.08743	5.01406	0.794306	0.400023	lidar	1.05396	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1959	5.24934	4.96758	0.810082	0.397086	radar	1.48986	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3521	5.43591	4.95901	0.83456	0.402008	lidar	0.210682	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5098	5.59548	4.88832	0.850096	0.399495	radar	2.87309	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6965	5.7279	4.85267	0.846381	0.3745	lidar	1.17338	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8436	5.91302	4.79056	0.872356	0.385781	radar	0.868976	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0142	6.11263	4.82851	0.891638	0.385774	lidar	0.834223	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1666	6.31513	4.85476	0.91392	0.388491	radar	0.833617	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2879	6.55913	4.89736	0.955423	0.411724	lidar	0.999618	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4223	6.76662	4.8851	0.980614	0.418018	radar	0.305562	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5651	6.90933	4.80846	0.980747	0.396227	lidar	1.41113	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.715	7.11664	4.87663	0.993471	0.385088	radar	0.739786	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9065	7.26413	4.84625	0.978806	0.349676	lidar	3.64694	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9986	7.4564	4.72523	1.01147	0.371488	radar	3.74323	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0901	7.72596	4.79802	1.05835	0.401104	lidar	1.70679	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.212	7.93103	4.80917	1.07372	0.394882	radar	0.251888	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2906	8.15073	4.7944	1.10567	0.407428	lidar	1.36996	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3903	8.36059	4.81274	1.12317	0.401101	radar	2.19915	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4825	8.50911	4.69918	1.12876	0.385875	lidar	3.30225	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5759	8.71287	4.66198	1.14922	0.389066	radar	0.468858	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7327	8.89475	4.65362	1.14061	0.360339	lidar	4.043	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8099	9.11005	4.60733	1.16918	0.375395	radar	0.936498	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9369	9.34493	4.6664	1.18017	0.367755	lidar	3.24128	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9879	9.55612	4.56943	1.2166	0.393854	radar	2.50754	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.073	9.80387	4.62712	1.24076	0.398699	lidar	0.988961	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1349	10.0537	4.69592	1.26798	0.403235	radar	7.32272	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1826	10.3342	4.77864	1.30642	0.422136	lidar	1.16487	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2032	10.5619	4.70178	1.34797	0.450729	radar	3.10208	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2599	10.8443	4.7941	1.37768	0.458291	lidar	2.20966	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2889	11.102	4.83504	1.40839	0.465011	radar	4.94046	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3228	11.3435	4.83903	1.43286	0.466248	lidar	0.00402952	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2768	11.5801	4.71669	1.499	0.526635	radar	11.336	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3453	11.8262	4.74661	1.50711	0.508516	lidar	4.52112	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3682	12.0626	4.80288	1.51845	0.483313	radar	3.43908	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.353	12.3584	4.90147	1.55813	0.498806	lidar	1.25447	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.308	12.5898	4.81083	1.61057	0.540276	radar	3.67007	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3317	12.8312	4.81332	1.62441	0.527268	lidar	1.67082	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3211	13.0577	4.77606	1.65021	0.52966	radar	2.08896	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2869	13.2699	4.73055	1.67929	0.532181	lidar	0.998197	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2493	13.5021	4.73592	1.70699	0.530975	radar	1.28286	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2252	13.7676	4.79211	1.73088	0.528396	lidar	1.3215	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1724	13.9904	4.75192	1.76575	0.542267	radar	0.936883	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.114	14.2522	4.80914	1.79686	0.546224	lidar	0.430747	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0431	14.4792	4.8018	1.82912	0.551113	radar	1.42334	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9315	14.7414	4.87736	1.87354	0.567615	lidar	1.40887	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8647	14.9574	4.85973	1.89338	0.552671	radar	3.29517	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.834	15.173	4.81052	1.90383	0.535995	lidar	1.99103	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7087	15.3775	4.72715	1.9705	0.603833	radar	8.3535	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.682	15.5605	4.62635	1.97835	0.582187	lidar	3.09051	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
